Carrera;IdCampus;Sexo;CicloIngreso;InstitucionBach_Encoded;TieneBeca;PorcentajeBeca_Promedio;MateriasInscritas_C1;MateriasAprobadas_C1;MateriasReprobadas_C1;TasaAprobacion_C1;PromedioCiclo_C1;MateriasInscritas_C2;MateriasAprobadas_C2;MateriasReprobadas_C2;TasaAprobacion_C2;PromedioCiclo_C2;TotalMateriasInscritas_Anio1;TotalMateriasAprobadas_Anio1;TotalMateriasReprobadas_Anio1;TasaAprobacion_Anio1;PromedioGeneral_Anio1;Deserto
2021-202;1;102301;01-2021;0.15873;0;NULL;5;5;0;1;8.23;5;5;0;1;7.41;10;10;0;1;7.82;0
2013-703;1;102301;01-2021;0.45313;0;NULL;6;5;1;0.8333;8.14;5;5;0;1;8.02;11;10;1;0.9091;8.08;1
2019-409;1;102302;01-2022;0.04000;0;NULL;5;3;2;0.6;5.12;3;2;1;0.6667;4.94;8;5;3;0.625;5.03;0
2021-202;1;102302;01-2022;0.09091;0;NULL;5;5;0;1;7.76;5;5;0;1;7.65;10;10;0;1;7.71;1
2023-106;1;102302;01-2023;0.09259;0;NULL;4;2;1;0.5;4.52;4;3;0;0.75;5.21;8;5;1;0.625;4.87;0
2023-104;1;102301;01-2023;0.09091;0;NULL;4;2;2;0.5;6.78;3;1;2;0.3333;6.18;7;3;4;0.4286;6.48;1
2019-209;1;102302;01-2023;0.10714;0;NULL;5;5;0;1;8.87;4;4;0;1;8.44;9;9;0;1;8.66;0
2024-105;1;102301;01-2024;0.09351;0;NULL;4;2;0;0.5;4.51;4;1;0;0.25;2.34;8;3;0;0.375;3.42;0
2024-215;1;102301;01-2024;0.16176;0;NULL;5;5;0;1;8.04;5;0;0;0;0;10;5;0;0.5;4.02;1
2024-111;1;102301;01-2024;0.19608;0;NULL;8;2;2;0.25;2.82;3;1;1;0.3333;3.89;11;3;3;0.2727;3.36;0
2014-702;1;102301;01-2020;0.12817;0;NULL;5;4;1;0.8;7.4;5;4;1;0.8;7.15;10;8;2;0.8;7.27;0
2018-206;1;102302;01-2020;0.09735;0;NULL;3;3;0;1;9.15;3;3;0;1;8.91;6;6;0;1;9.03;0
2016-302;1;102302;01-2020;0.08602;1;50;4;4;0;1;8.14;5;5;0;1;8.33;9;9;0;1;8.23;0
2018-206;1;102302;01-2021;0.05063;0;NULL;3;3;0;1;7.69;2;2;0;1;8.32;5;5;0;1;8;0
2016-301;1;102302;01-2021;0.17647;0;NULL;5;5;0;1;8.53;5;4;0;0.8;6.74;10;9;0;0.9;7.63;0
2021-202;1;102302;01-2021;0.19960;0;NULL;5;4;0;0.8;6.84;5;4;1;0.8;7.39;10;8;1;0.8;7.12;0
2019-404;1;102301;01-2021;0.10714;0;NULL;4;4;0;1;9.35;3;3;0;1;9.85;7;7;0;1;9.6;0
2018-206;1;102302;01-2021;0.11515;0;NULL;3;3;0;1;8.67;2;2;0;1;9.28;5;5;0;1;8.98;0
2017-101;1;102301;01-2022;0.08602;1;75;5;2;2;0.4;4.9;3;1;1;0.3333;4.39;8;3;3;0.375;4.65;1
2018-219;1;102302;01-2022;0.14634;0;NULL;3;3;0;1;7.26;4;4;0;1;6.91;7;7;0;1;7.09;0
2019-209;1;102302;01-2022;0.09351;0;NULL;5;5;0;1;8.92;5;5;0;1;9.61;10;10;0;1;9.26;0
2023-104;1;102302;01-2023;0.25000;0;NULL;4;3;0;0.75;5.71;4;2;0;0.5;3.82;8;5;0;0.625;4.76;0
2022-109;1;102301;01-2023;0.14008;0;NULL;4;3;0;0.75;5.88;5;5;0;1;7.96;9;8;0;0.8889;6.92;0
2024-402;1;102301;01-2024;0.00000;0;NULL;6;3;2;0.5;5.2;3;2;0;0.6667;4.66;9;5;2;0.5556;4.93;0
2024-106;1;102301;01-2024;0.17448;0;NULL;4;3;1;0.75;7.17;3;1;1;0.3333;4.47;7;4;2;0.5714;5.82;0
2024-305;1;102302;01-2024;0.04202;0;NULL;4;4;0;1;7.49;4;3;0;0.75;5.9;8;7;0;0.875;6.7;0
2024-206;1;102302;01-2024;0.11111;1;50;3;3;0;1;8.99;3;3;0;1;9.09;6;6;0;1;9.04;0
2017-104;1;102301;01-2020;0.02158;0;NULL;5;5;0;1;8.9;6;5;0;0.8333;6.48;11;10;0;0.9091;7.69;0
2017-104;1;102301;01-2020;0.00000;0;NULL;4;2;1;0.5;5.27;5;3;2;0.6;6;9;5;3;0.5556;5.64;0
2019-404;1;102301;01-2020;0.05675;0;NULL;5;4;0;0.8;5.99;4;3;1;0.75;6.26;9;7;1;0.7778;6.12;0
2016-203;1;102301;01-2020;0.05675;0;NULL;4;4;0;1;8.83;4;4;0;1;9.12;8;8;0;1;8.97;0
2019-209;1;102302;01-2022;0.10714;0;NULL;5;5;0;1;8.98;5;5;0;1;8.75;10;10;0;1;8.86;0
2017-106;1;102301;01-2022;0.16176;0;NULL;5;2;2;0.4;4.41;3;1;1;0.3333;3.77;8;3;3;0.375;4.09;0
2022-109;1;102301;01-2023;0.05675;0;NULL;5;4;1;0.8;7.8;4;3;1;0.75;7.67;9;7;2;0.7778;7.73;0
2023-206;1;102301;01-2023;0.17647;0;NULL;4;0;0;0;0;3;3;0;1;8.65;7;3;0;0.4286;4.33;0
2023-404;1;102301;01-2023;0.14286;0;NULL;4;0;3;0;0.88;2;1;0;0.5;4.18;6;1;3;0.1667;2.53;0
2024-103;1;102301;01-2024;0.10101;1;100;4;3;1;0.75;6.71;4;2;0;0.5;3.68;8;5;1;0.625;5.19;0
2024-110;1;102302;01-2024;0.05714;0;NULL;5;2;1;0.4;4.41;4;2;2;0.5;5.09;9;4;3;0.4444;4.75;0
2024-305;1;102302;01-2024;0.12000;0;NULL;5;5;0;1;7.83;4;4;0;1;8.73;9;9;0;1;8.28;0
2024-404;1;102302;01-2024;0.00000;0;NULL;3;2;0;0.6667;5.94;3;3;0;1;8.97;6;5;0;0.8333;7.45;0
2017-106;1;102302;01-2020;0.07778;0;NULL;4;3;0;0.75;6.28;5;4;0;0.8;5.88;9;7;0;0.7778;6.08;0
2014-702;1;102302;01-2020;0.05675;0;NULL;5;2;3;0.4;6.27;3;3;0;1;7.11;8;5;3;0.625;6.69;0
2014-702;1;102302;01-2020;0.08000;0;NULL;5;5;0;1;7.28;5;4;1;0.8;7.68;10;9;1;0.9;7.48;0
2019-209;1;102301;01-2020;0.26667;0;NULL;4;4;0;1;8.52;4;4;0;1;7.94;8;8;0;1;8.23;0
2018-219;1;102301;01-2020;0.05675;0;NULL;3;3;0;1;8.48;4;4;0;1;8.61;7;7;0;1;8.54;0
2018-219;1;102301;01-2020;0.05675;0;NULL;3;2;1;0.6667;5.38;2;1;1;0.5;6.74;5;3;2;0.6;6.06;0
2018-206;1;102301;01-2020;0.07778;0;NULL;3;3;0;1;7.93;3;3;0;1;8.81;6;6;0;1;8.37;0
2016-413;1;102301;01-2020;0.10000;0;NULL;5;4;1;0.8;6.72;5;4;1;0.8;7.19;10;8;2;0.8;6.95;0
2016-202;1;102302;01-2020;0.31818;0;NULL;4;4;0;1;7.33;4;4;0;1;8.28;8;8;0;1;7.81;0
2018-219;1;102302;01-2021;0.05675;0;NULL;3;3;0;1;8.37;3;3;0;1;8.06;6;6;0;1;8.22;0
2017-109;1;102302;01-2021;0.08889;0;NULL;4;2;1;0.5;5.29;4;2;0;0.5;3.69;8;4;1;0.5;4.49;0
2018-206;1;102302;01-2021;0.17308;0;NULL;3;2;1;0.6667;7.5;3;3;0;1;8.7;6;5;1;0.8333;8.1;0
2017-101;1;102301;01-2021;0.09351;0;NULL;4;4;0;1;7.96;5;5;0;1;7.38;9;9;0;1;7.67;0
2019-402;1;102301;01-2021;0.23077;0;NULL;4;1;3;0.25;4.81;4;3;0;0.75;5.92;8;4;3;0.5;5.36;0
2021-202;1;102302;01-2021;0.08511;0;NULL;5;5;0;1;8.33;4;4;0;1;8.45;9;9;0;1;8.39;0
2016-302;1;102301;01-2021;0.05675;0;NULL;4;4;0;1;7.95;5;2;0;0.4;3.04;9;6;0;0.6667;5.49;0
2018-219;1;102301;01-2021;0.15385;0;NULL;3;2;1;0.6667;6.36;4;4;0;1;8.63;7;6;1;0.8571;7.5;0
2017-101;1;102301;01-2021;0.05675;0;NULL;4;3;1;0.75;7.4;4;2;2;0.5;5.98;8;5;3;0.625;6.69;0
2018-441;1;102301;01-2021;0.17448;0;NULL;6;6;0;1;8.61;5;5;0;1;8.93;11;11;0;1;8.77;0
2016-203;1;102301;01-2021;0.15385;0;NULL;4;4;0;1;8.73;4;4;0;1;8.45;8;8;0;1;8.59;0
2016-203;1;102301;01-2021;0.05675;0;NULL;4;4;0;1;8.83;4;4;0;1;8.48;8;8;0;1;8.65;0
2017-105;1;102302;01-2022;0.09259;0;NULL;5;4;0;0.8;6.21;4;2;2;0.5;7.22;9;6;2;0.6667;6.72;0
2017-102;1;102301;01-2022;0.09351;0;NULL;5;5;0;1;7.82;4;3;0;0.75;6.08;9;8;0;0.8889;6.95;0
2022-702;1;102301;01-2022;0.05675;0;NULL;4;4;0;1;7.61;4;4;0;1;7.2;8;8;0;1;7.41;0
2022-802;1;102302;01-2022;0.07407;0;NULL;5;3;0;0.6;4.25;4;3;0;0.75;5.85;9;6;0;0.6667;5.05;0
2021-413;1;102302;01-2022;0.07778;0;NULL;5;5;0;1;9.03;4;4;0;1;8.41;9;9;0;1;8.72;0
2018-219;1;102302;01-2022;0.14173;0;NULL;3;3;0;1;8.24;3;3;0;1;7.56;6;6;0;1;7.9;0
2018-206;1;102302;01-2022;0.14173;0;NULL;3;3;0;1;7.77;3;2;1;0.6667;7.6;6;5;1;0.8333;7.69;0
2022-702;1;102301;01-2022;0.11515;0;NULL;4;2;1;0.5;4.83;3;0;0;0;0;7;2;1;0.2857;2.42;1
2018-219;1;102302;01-2022;0.07778;1;100;3;3;0;1;9.51;3;3;0;1;8.74;6;6;0;1;9.12;0
2018-206;1;102301;01-2022;0.04762;0;NULL;3;3;0;1;9.23;2;2;0;1;8.91;5;5;0;1;9.07;0
2016-301;1;102302;01-2022;0.07778;1;100;4;4;0;1;9.04;5;4;0;0.8;6.52;9;8;0;0.8889;7.78;0
2016-302;1;102302;01-2022;0.04202;0;NULL;4;4;0;1;8.58;5;4;0;0.8;6.78;9;8;0;0.8889;7.68;0
2019-211;1;102301;01-2022;0.17647;0;NULL;6;4;1;0.6667;6.03;5;0;0;0;0;11;4;1;0.3636;3.01;1
2018-206;1;102301;01-2022;0.11801;0;NULL;3;2;1;0.6667;6.2;3;0;3;0;0.74;6;2;4;0.3333;3.47;0
2019-209;1;102302;01-2022;0.27273;0;NULL;5;5;0;1;8.66;5;5;0;1;9.02;10;10;0;1;8.84;0
2022-109;1;102302;01-2023;0.10101;0;NULL;6;6;0;1;7.97;3;1;1;0.3333;4.23;9;7;1;0.7778;6.1;0
2022-105;1;102301;01-2023;0.09351;0;NULL;5;5;0;1;7.73;5;3;0;0.6;4.24;10;8;0;0.8;5.99;0
2013-207;1;102302;01-2023;0.09735;0;NULL;5;5;0;1;9.03;5;5;0;1;9.41;10;10;0;1;9.22;0
2023-301;1;102302;01-2023;0.23077;0;NULL;4;4;0;1;7.79;4;2;0;0.5;4.72;8;6;0;0.75;6.25;0
2023-305;1;102301;01-2023;0.17448;0;NULL;4;4;0;1;8.26;5;5;0;1;8.11;9;9;0;1;8.19;0
2023-104;1;102302;01-2023;0.11801;0;NULL;4;1;1;0.25;3.28;4;3;0;0.75;5.51;8;4;1;0.5;4.39;0
2022-109;1;102302;01-2023;0.11111;0;NULL;4;4;0;1;7.66;4;2;0;0.5;4.07;8;6;0;0.75;5.87;0
2018-219;1;102302;01-2023;0.27273;0;NULL;3;2;1;0.6667;5.58;3;0;3;0;3.55;6;2;4;0.3333;4.56;1
2018-206;1;102302;01-2023;0.21053;0;NULL;3;3;0;1;7.55;3;3;0;1;8.63;6;6;0;1;8.09;0
2023-404;1;102301;01-2023;0.10101;0;NULL;5;2;1;0.4;4.24;4;4;0;1;7.7;9;6;1;0.6667;5.97;0
2018-444;1;102301;01-2023;0.17448;0;NULL;6;6;0;1;8.36;5;5;0;1;8.29;11;11;0;1;8.33;0
2024-305;1;102302;01-2024;0.09259;0;NULL;5;5;0;1;7.82;5;5;0;1;8.14;10;10;0;1;7.98;0
2024-104;1;102301;01-2024;0.14008;0;NULL;5;2;0;0.4;3.3;3;0;0;0;0;8;2;0;0.25;1.65;1
2024-403;1;102301;01-2024;0.16786;0;NULL;5;3;1;0.6;5.37;4;2;1;0.5;4.32;9;5;2;0.5556;4.84;0
2024-208;1;102301;01-2024;0.25490;0;NULL;6;6;0;1;9.08;4;4;0;1;9.06;10;10;0;1;9.07;1
2024-303;1;102301;01-2024;0.00000;0;NULL;4;4;0;1;7.63;4;4;0;1;7.65;8;8;0;1;7.64;0
2024-219;1;102302;01-2024;0.06329;0;NULL;3;2;1;0.6667;6.3;4;3;1;0.75;6.86;7;5;2;0.7143;6.58;0
2024-305;1;102301;01-2024;0.16667;0;NULL;4;0;4;0;2.66;2;0;2;0;0.61;6;0;6;0;1.63;1
2018-444;1;102301;01-2024;0.17448;0;NULL;6;4;2;0.6667;6.66;5;3;2;0.6;6.88;11;7;4;0.6364;6.77;1
2018-219;1;102302;01-2020;0.05675;0;NULL;3;3;0;1;8.73;3;3;0;1;8.71;6;6;0;1;8.72;0
2018-206;1;102302;01-2020;0.04000;0;NULL;3;3;0;1;9.21;2;2;0;1;9.29;5;5;0;1;9.25;0
2018-219;1;102301;01-2020;0.11801;1;50;3;3;0;1;7.84;4;4;0;1;8.39;7;7;0;1;8.11;0
2017-106;1;102301;01-2020;0.14173;0;NULL;4;4;0;1;8.69;4;4;0;1;8.11;8;8;0;1;8.4;0
2019-211;1;102302;01-2020;0.14815;0;NULL;6;6;0;1;7.08;5;5;0;1;9.32;11;11;0;1;8.2;0
2017-109;1;102301;01-2020;0.07692;0;NULL;4;4;0;1;7.71;5;5;0;1;6.77;9;9;0;1;7.24;0
2016-301;1;102301;01-2020;0.10753;0;NULL;4;3;1;0.75;7.43;4;3;1;0.75;7.14;8;6;2;0.75;7.29;0
2019-405;1;102301;01-2020;0.11765;0;NULL;4;3;1;0.75;7.34;5;4;1;0.8;8.34;9;7;2;0.7778;7.84;0
2019-409;1;102302;01-2020;0.00000;0;NULL;5;5;0;1;7.84;5;5;0;1;7.41;10;10;0;1;7.63;0
2019-701;1;102302;01-2020;0.25000;0;NULL;5;4;0;0.8;6.64;5;3;1;0.6;6.34;10;7;1;0.7;6.49;0
2014-802;1;102301;01-2020;0.18519;0;NULL;5;4;1;0.8;6.88;6;5;0;0.8333;6.94;11;9;1;0.8182;6.91;0
2016-202;1;102301;01-2020;0.25490;0;NULL;4;1;3;0.25;4.89;3;1;2;0.3333;3.44;7;2;5;0.2857;4.16;0
2018-206;1;102302;01-2021;0.14634;0;NULL;2;0;2;0;0;1;1;0;1;8.21;3;1;2;0.3333;4.11;0
2019-209;1;102302;01-2021;0.11230;0;NULL;5;5;0;1;8.67;5;5;0;1;8.08;10;10;0;1;8.37;0
2016-301;1;102302;01-2021;0.11801;0;NULL;4;4;0;1;8.19;5;4;0;0.8;6.78;9;8;0;0.8889;7.48;0
2018-219;1;102302;01-2021;0.23377;0;NULL;3;3;0;1;8.53;4;4;0;1;7.22;7;7;0;1;7.88;0
2017-101;1;102301;01-2021;0.05675;0;NULL;4;2;2;0.5;4.72;2;1;1;0.5;5.37;6;3;3;0.5;5.04;0
2019-209;1;102301;01-2021;0.09735;0;NULL;5;5;0;1;8.33;5;5;0;1;8.1;10;10;0;1;8.21;0
2017-109;1;102301;01-2021;0.11765;0;NULL;5;5;0;1;9.01;5;4;0;0.8;6.53;10;9;0;0.9;7.77;0
2019-209;1;102302;01-2021;0.10753;0;NULL;5;5;0;1;8.29;5;5;0;1;8.32;10;10;0;1;8.3;0
2019-701;1;102301;01-2021;0.08000;0;NULL;5;4;0;0.8;6.29;4;3;0;0.75;5.88;9;7;0;0.7778;6.09;0
2019-403;1;102301;01-2021;0.15873;0;NULL;5;5;0;1;7.67;4;3;0;0.75;6.13;9;8;0;0.8889;6.9;0
2016-303;1;102302;01-2021;0.28571;0;NULL;5;5;0;1;7.03;4;3;0;0.75;6.7;9;8;0;0.8889;6.87;0
2018-444;1;102301;01-2021;0.17448;0;NULL;6;6;0;1;8.47;5;5;0;1;7.62;11;11;0;1;8.04;0
2019-404;1;102301;01-2022;0.05000;1;66.67;5;4;0;0.8;7.25;7;7;0;1;7.62;12;11;0;0.9167;7.44;0
2018-206;1;102302;01-2022;0.15873;0;NULL;3;3;0;1;7.19;3;2;0;0.6667;5.27;6;5;0;0.8333;6.23;0
2017-106;1;102302;01-2022;0.11515;0;NULL;4;3;0;0.75;5.96;5;3;0;0.6;4.68;9;6;0;0.6667;5.32;0
2017-105;1;102302;01-2022;0.16786;0;NULL;4;3;1;0.75;7.07;5;2;1;0.4;4.23;9;5;2;0.5556;5.65;1
2019-409;1;102302;01-2022;0.16176;1;25;5;5;0;1;9.26;5;5;0;1;9.35;10;10;0;1;9.3;0
2018-219;1;102301;01-2022;0.25675;0;NULL;3;3;0;1;8.05;4;4;0;1;8.5;7;7;0;1;8.27;1
2018-444;1;102301;01-2022;0.17448;0;NULL;6;6;0;1;9.29;5;5;0;1;8.98;11;11;0;1;9.14;0
2023-404;1;102301;01-2023;0.10714;0;NULL;4;0;0;0;0;5;4;0;0.8;6.59;9;4;0;0.4444;3.3;0
2023-104;1;102301;01-2023;0.11230;0;NULL;4;2;0;0.5;4.78;5;3;0;0.6;5.2;9;5;0;0.5556;4.99;0
2019-209;1;102302;01-2023;0.11925;0;NULL;5;5;0;1;9.13;5;5;0;1;9.09;10;10;0;1;9.11;0
2018-219;1;102302;01-2023;0.11515;0;NULL;3;3;0;1;8.69;3;3;0;1;8.53;6;6;0;1;8.61;0
2023-404;1;102301;01-2023;0.10753;0;NULL;5;4;0;0.8;6.07;4;4;0;1;7.39;9;8;0;0.8889;6.73;1
2023-405;1;102301;01-2023;0.06897;0;NULL;4;4;0;1;7.79;2;1;1;0.5;6.33;6;5;1;0.8333;7.06;1
2024-206;1;102301;01-2024;0.08333;0;NULL;4;0;4;0;1.65;1;0;1;0;5.66;5;0;5;0;3.65;0
2024-209;1;102301;01-2024;0.05675;0;NULL;5;4;0;0.8;6.78;5;5;0;1;8.83;10;9;0;0.9;7.8;0
2024-103;1;102301;01-2024;0.07407;0;NULL;3;3;0;1;9.03;4;4;0;1;8.53;7;7;0;1;8.78;0
2024-219;1;102302;01-2024;0.09735;0;NULL;3;3;0;1;8.38;4;4;0;1;8.02;7;7;0;1;8.2;0
2024-305;1;102302;01-2024;0.07407;1;50;5;5;0;1;9.15;5;5;0;1;9.42;10;10;0;1;9.29;0
2024-209;1;102302;01-2024;0.11230;0;NULL;5;5;0;1;9.01;5;5;0;1;9.06;10;10;0;1;9.03;0
2024-104;1;102302;01-2024;0.05675;0;NULL;4;2;1;0.5;5.32;4;2;0;0.5;3.74;8;4;1;0.5;4.53;0
2024-219;1;102302;01-2024;0.06250;0;NULL;3;3;0;1;8.04;4;3;1;0.75;6.06;7;6;1;0.8571;7.05;0
2024-702;1;102301;01-2024;0.25490;0;NULL;4;0;0;0;0;3;0;3;0;2.1;7;0;3;0;1.05;0
2024-105;1;102301;01-2024;0.16667;0;NULL;5;3;1;0.6;5.91;4;0;0;0;0;9;3;1;0.3333;2.95;1
2016-301;1;102302;01-2020;0.18175;0;NULL;5;4;1;0.8;5.97;4;4;0;1;7.99;9;8;1;0.8889;6.98;0
2016-303;1;102301;01-2020;0.04762;0;NULL;5;5;0;1;8.14;5;5;0;1;9.09;10;10;0;1;8.61;0
2018-219;1;102302;01-2021;0.09735;0;NULL;3;3;0;1;8.28;4;4;0;1;8.47;7;7;0;1;8.37;0
2017-102;1;102301;01-2022;0.16176;0;NULL;5;5;0;1;7.78;4;4;0;1;7.66;9;9;0;1;7.72;0
2017-103;1;102301;01-2022;0.09351;0;NULL;4;3;0;0.75;6.77;5;5;0;1;8.19;9;8;0;0.8889;7.48;0
2023-402;1;102301;01-2023;0.07407;0;NULL;4;3;0;0.75;5.88;5;5;0;1;8.79;9;8;0;0.8889;7.33;0
2018-206;1;102302;01-2023;0.05675;0;NULL;3;3;0;1;8.86;3;3;0;1;8.97;6;6;0;1;8.92;0
2021-202;1;102301;01-2023;0.11801;0;NULL;5;5;0;1;8.5;3;0;0;0;0;8;5;0;0.625;4.25;1
2024-219;1;102302;01-2024;0.08602;0;NULL;3;3;0;1;8.59;4;4;0;1;7.58;7;7;0;1;8.09;0
2024-208;1;102301;01-2024;0.31818;0;NULL;4;3;1;0.75;6.48;4;4;0;1;7.05;8;7;1;0.875;6.77;0
2019-209;1;102301;01-2021;0.07778;0;NULL;5;5;0;1;8.19;5;5;0;1;8.13;10;10;0;1;8.16;0
2018-219;1;102302;01-2022;0.17647;0;NULL;3;3;0;1;8.49;3;3;0;1;8.67;6;6;0;1;8.58;0
2019-404;1;102302;01-2022;0.09259;0;NULL;4;2;1;0.5;5.93;4;4;0;1;8.1;8;6;1;0.75;7.01;0
2019-209;1;102302;01-2022;0.05675;0;NULL;5;5;0;1;8.85;4;4;0;1;8.62;9;9;0;1;8.73;0
2024-409;1;102302;01-2024;0.25490;0;NULL;5;5;0;1;8.32;4;4;0;1;8.62;9;9;0;1;8.47;0
2018-444;1;102301;01-2024;0.17448;0;NULL;6;6;0;1;8.15;6;6;0;1;7.86;12;12;0;1;8;1
2017-103;1;102301;01-2020;0.17448;0;NULL;4;3;0;0.75;5.47;4;3;1;0.75;6.59;8;6;1;0.75;6.03;0
2016-302;1;102301;01-2020;0.04202;0;NULL;5;5;0;1;8.98;4;3;0;0.75;7.06;9;8;0;0.8889;8.02;0
2019-209;1;102302;01-2020;0.04762;0;NULL;5;5;0;1;7.41;4;4;0;1;7.4;9;9;0;1;7.41;0
2019-209;1;102302;01-2020;0.06250;0;NULL;4;4;0;1;8.75;5;5;0;1;9.39;9;9;0;1;9.07;0
2014-702;1;102301;01-2020;0.45313;0;NULL;5;1;3;0.2;3.53;2;1;1;0.5;4.55;7;2;4;0.2857;4.04;1
2017-106;1;102302;01-2020;0.15873;0;NULL;4;2;1;0.5;4.93;4;0;0;0;0;8;2;1;0.25;2.47;0
2017-104;1;102301;01-2020;0.11111;0;NULL;4;2;2;0.5;5.55;3;0;0;0;0;7;2;2;0.2857;2.78;0
2014-702;1;102301;01-2021;0.17448;0;NULL;5;1;0;0.2;3.06;5;2;0;0.4;4.51;10;3;0;0.3;3.79;0
2014-702;1;102301;01-2021;0.26667;0;NULL;5;4;1;0.8;6.38;5;4;1;0.8;6.98;10;8;2;0.8;6.68;0
2016-302;1;102301;01-2021;0.26316;0;NULL;4;4;0;1;7.84;3;2;0;0.6667;5.8;7;6;0;0.8571;6.82;0
2017-109;1;102302;01-2021;0.10526;0;NULL;4;4;0;1;7.94;5;3;0;0.6;4.16;9;7;0;0.7778;6.05;0
2017-104;1;102301;01-2021;0.10753;0;NULL;4;2;2;0.5;4.68;3;0;1;0;0;7;2;3;0.2857;2.34;0
2018-219;1;102301;01-2021;0.05769;0;NULL;4;4;0;1;7.79;2;1;1;0.5;6.42;6;5;1;0.8333;7.1;0
2013-703;1;102301;01-2021;0.45313;0;NULL;6;5;1;0.8333;7.39;5;5;0;1;7.57;11;10;1;0.9091;7.48;0
2019-802;1;102302;01-2021;0.11515;0;NULL;4;4;0;1;8.38;2;1;1;0.5;6.54;6;5;1;0.8333;7.46;1
2018-206;1;102301;01-2022;0.18175;0;NULL;3;2;1;0.6667;7.3;3;2;1;0.6667;5.68;6;4;2;0.6667;6.49;0
2021-202;1;102301;01-2022;0.05675;0;NULL;5;5;0;1;8.39;5;5;0;1;8.58;10;10;0;1;8.49;0
2019-209;1;102301;01-2022;0.10101;0;NULL;5;4;1;0.8;8;4;4;0;1;7.53;9;8;1;0.8889;7.76;0
2018-206;1;102302;01-2022;0.05675;0;NULL;3;3;0;1;8.84;2;2;0;1;9.49;5;5;0;1;9.16;0
2018-206;1;102302;01-2022;0.04202;0;NULL;3;3;0;1;9.17;3;3;0;1;7.98;6;6;0;1;8.58;0
2019-211;1;102301;01-2022;0.11925;0;NULL;4;2;1;0.5;5.18;4;4;0;1;7.71;8;6;1;0.75;6.45;0
2023-104;1;102301;01-2023;0.05675;0;NULL;4;4;0;1;7.92;4;3;0;0.75;6.03;8;7;0;0.875;6.97;0
2023-104;1;102301;01-2023;0.00000;0;NULL;4;3;1;0.75;7.39;4;4;0;1;7.28;8;7;1;0.875;7.34;0
2022-103;1;102301;01-2023;0.17448;0;NULL;3;1;2;0.3333;3.69;3;1;1;0.3333;4.81;6;2;3;0.3333;4.25;0
2022-109;1;102301;01-2023;0.10101;1;100;5;5;0;1;8.33;4;4;0;1;7.54;9;9;0;1;7.93;0
2022-702;1;102302;01-2023;0.08511;0;NULL;4;3;0;0.75;5.07;4;1;1;0.25;3.76;8;4;1;0.5;4.41;0
2023-404;1;102301;01-2023;0.05000;1;50;5;5;0;1;8.88;5;5;0;1;8.82;10;10;0;1;8.85;0
2019-209;1;102302;01-2023;0.02158;0;NULL;5;5;0;1;9.48;5;5;0;1;9.56;10;10;0;1;9.52;0
2021-413;1;102302;01-2023;0.09259;0;NULL;5;5;0;1;8.17;5;5;0;1;8.42;10;10;0;1;8.3;0
2022-702;1;102301;01-2023;0.06250;0;NULL;5;5;0;1;7.39;5;5;0;1;8.06;10;10;0;1;7.73;0
2018-219;1;102302;01-2023;0.07407;0;NULL;3;3;0;1;8.65;3;3;0;1;9.25;6;6;0;1;8.95;0
2023-303;1;102301;01-2023;0.05063;0;NULL;3;2;1;0.6667;7.23;5;4;0;0.8;6.35;8;6;1;0.75;6.79;0
2022-102;1;102301;01-2023;0.08333;0;NULL;5;3;0;0.6;4.31;3;2;1;0.6667;6.63;8;5;1;0.625;5.47;0
2022-109;1;102301;01-2023;0.06250;0;NULL;4;2;1;0.5;5.34;4;0;4;0;4.16;8;2;5;0.25;4.75;0
2024-206;1;102302;01-2024;0.14634;0;NULL;2;2;0;1;8.15;3;3;0;1;8.54;5;5;0;1;8.34;0
2024-219;1;102302;01-2024;0.11515;0;NULL;3;3;0;1;8.53;4;4;0;1;8.65;7;7;0;1;8.59;0
2024-209;1;102302;01-2024;0.06250;0;NULL;5;5;0;1;8.75;5;5;0;1;8.64;10;10;0;1;8.69;0
2024-219;1;102302;01-2024;0.07778;0;NULL;3;3;0;1;8.92;4;4;0;1;8.3;7;7;0;1;8.61;0
2024-206;1;102302;01-2024;0.10101;0;NULL;3;3;0;1;7.84;3;2;1;0.6667;7.13;6;5;1;0.8333;7.48;0
2024-702;1;102301;01-2024;0.10526;0;NULL;4;3;1;0.75;7.39;5;5;0;1;8.31;9;8;1;0.8889;7.85;0
2018-219;1;102302;01-2020;0.09735;0;NULL;3;3;0;1;7.67;4;4;0;1;8.63;7;7;0;1;8.15;0
2014-702;1;102301;01-2020;0.15873;0;NULL;5;4;1;0.8;6.84;3;3;0;1;8.79;8;7;1;0.875;7.82;0
2019-404;1;102301;01-2020;0.09735;0;NULL;5;1;0;0.2;1.66;4;3;1;0.75;7.63;9;4;1;0.4444;4.65;0
2019-211;1;102301;01-2020;0.09351;0;NULL;5;2;3;0.4;4.5;2;2;0;1;7.92;7;4;3;0.5714;6.21;0
2018-444;1;102301;01-2020;0.05063;0;NULL;4;0;0;0;0;3;2;1;0.6667;7.6;7;2;1;0.2857;3.8;0
2018-206;1;102302;01-2020;0.17308;0;NULL;3;0;0;0;0;1;1;0;1;7.11;4;1;0;0.25;3.56;0
2018-206;1;102302;01-2020;0.14286;1;25;3;3;0;1;8.11;2;2;0;1;8.3;5;5;0;1;8.2;0
